Broad ID	DrugBank ID
BRD-K92611362	DB00847
BRD-K87737963	DB11763
BRD-K33106058	DB00987
BRD-K74186897	DB09028
BRD-K00911807	DB02556
BRD-K71822263	DB03929
BRD-K09951645	DB08912
BRD-K57169635	DB11963
BRD-K70578146	DB00970
BRD-K12979078	DB02115
BRD-A89196962	DB15676
BRD-K18849474	DB12181
BRD-K22482860	DB06637
BRD-K48970916	DB01406
BRD-K13769342	DB11922
BRD-K81272440	DB01219
BRD-K07881437	DB11778
BRD-K58160573	DB06292
BRD-K33133047	DB00298
BRD-K12885236	DB08639
BRD-K51579475	DB04884
BRD-K62363391	DB00250
BRD-K95773607	DB00496
BRD-K84986517	DB01264
BRD-K54863166	DB04883
BRD-K49328571	DB01254
BRD-K31633810	DB15676
BRD-K43389675	DB00694
BRD-K82767007	DB03052
BRD-K80419150	DB04840
BRD-K49783248	DB01245
BRD-A95300432	DB12566
BRD-K79254416	DB01262
BRD-K43578482	DB12282
BRD-K06878038	DB08826
BRD-K30468934	DB11921
BRD-K62304154	DB15676
BRD-K00003578	DB06699
BRD-K41256143	DB01708
BRD-K15360631	DB05804
BRD-K59325863	DB11956
BRD-K34068325	DB00705
BRD-K51471001	DB00944
BRD-K41170226	DB03619
BRD-K00005351	DB13466
BRD-K77685957	DB04209
BRD-K29462201	DB01089
BRD-K60762818	DB01151
BRD-K99919177	DB01078
BRD-K82357231	DB00967
BRD-K00003582	DB15676
BRD-K46061689	DB00304
BRD-K21528677	DB01260
BRD-K30697463	DB00547
BRD-K26024145	DB01134
BRD-K38775274	DB01234
BRD-K30019776	DB04522
BRD-K05900209	DB05351
BRD-K07609981	DB04856
BRD-K18423410	DB00633
BRD-K07265709	DB00380
BRD-K33211335	DB00514
BRD-K69122748	DB11994
BRD-K73109821	DB01119
BRD-K08252256	DB00586
BRD-K71499074	DB01144
BRD-K82236179	DB00266
BRD-K68507560	DB00804
BRD-K94146583	DB12948
BRD-K95309561	DB00890
BRD-K50853363	DB09123
BRD-K45542189	DB00711
BRD-K22031190	DB00861
BRD-K72992801	DB06781
BRD-K18518344	DB04177
BRD-K63668566	DB01396
BRD-K20152659	DB00154
BRD-K72166146	DB00320
BRD-A34455052	DB15676
BRD-K24023109	DB00343
BRD-K88701661	DB00566
BRD-K31111078	DB08908
BRD-K92848252	DB03608
BRD-K13662825	DB12021
BRD-K81672972	DB12789
BRD-K26521938	DB00917
BRD-K26862302	DB11259
BRD-K94436377	DB08995
BRD-K47278471	DB01075
BRD-K01663662	DB01231
BRD-K65814004	DB15676
BRD-K22936972	DB01146
BRD-K64838454	DB12733
BRD-K86301799	DB00975
BRD-K66672047	DB07645
BRD-A29734509	DB00280
BRD-K32744045	DB00822
BRD-K40654626	DB02520
BRD-K64400208	DB03759
BRD-K30577245	DB01248
BRD-K39965020	DB03756
BRD-K50050533	DB00632
BRD-K05680146	DB03967
BRD-K86887724	DB00204
BRD-K28029915	DB15676
BRD-K78567475	DB12730
BRD-K67463151	DB08930
BRD-K38305202	DB01184
BRD-A49160188	DB07701
BRD-K43887077	DB00988
BRD-K74065929	DB03044
BRD-K45319714	DB06211
BRD-K54233340	DB08597
BRD-K48617017	DB00869
BRD-K54759182	DB09167
BRD-K37694030	DB14750
BRD-K58262659	DB12947
BRD-K70507123	DB09273
BRD-K92093830	DB00997
BRD-K01825679	DB00254
BRD-K01824921	DB12946
BRD-K80315159	DB04905
BRD-A38706605	DB15676
BRD-K05524748	DB04855
BRD-K97158071	DB00450
BRD-K04394237	DB01395
BRD-K17219082	DB09215
BRD-K20372197	DB06262
BRD-K71103788	DB00476
BRD-K30373883	DB01126
BRD-K93468883	DB11952
BRD-K72259270	DB00645
BRD-K68620903	DB00378
BRD-K50564936	DB05171
BRD-K13314656	DB11742
BRD-K29359156	DB12610
BRD-K03353589	DB05265
BRD-K97058489	DB09075
BRD-K81128206	DB01010
BRD-K37355418	DB08486
BRD-K40758068	DB00625
BRD-A96292436	DB06243
BRD-K81623406	DB02234
BRD-K88807631	DB04881
BRD-K00004609	DB05494
BRD-K03165895	DB05187
BRD-K55808645	DB11979
BRD-K00003316	DB05295
BRD-K82135108	DB05719
BRD-K30652337	DB00216
BRD-K86410485	DB09039
BRD-K30466858	DB08846
BRD-K30827431	DB12308
BRD-K86171477	DB12883
BRD-K00003572	DB06210
BRD-K86727142	DB15676
BRD-A65248799	DB03944
BRD-K15010214	DB01084
BRD-K58685305	DB07715
BRD-K53765467	DB09038
BRD-K00023644	DB05408
BRD-K57545991	DB00584
BRD-K99447003	DB09477
BRD-K70601687	DB13874
BRD-K00003576	DB11718
BRD-K26425819	DB03516
BRD-K78113049	DB00467
BRD-K21152241	DB04880
BRD-K96137854	DB13089
BRD-K35007173	DB00824
BRD-K83636919	DB00494
BRD-K77908580	DB11841
BRD-K39009484	DB11986
BRD-K56851771	DB08899
BRD-K45014108	DB01364
BRD-A54236247	DB00852
BRD-K55591206	DB12116
BRD-K63126190	DB00668
BRD-K39339537	DB08991
BRD-K04548931	DB00445
BRD-K19761926	DB00700
BRD-A59329714	DB15676
BRD-K52762805	DB15676
BRD-K67977190	DB00876
BRD-K26531771	DB12920
BRD-K87468701	DB15676
BRD-K33586289	DB15676
BRD-K54847683	DB11674
BRD-K84868168	DB12147
BRD-K56155962	DB00153
BRD-K17311468	DB01253
BRD-K15380626	DB00696
BRD-K70401845	DB00530
BRD-K80608265	DB07933
BRD-K00003574	DB11827
BRD-K63550407	DB15676
BRD-K39746403	DB15676
BRD-K70301876	DB01175
BRD-K61237927	DB09119
BRD-K61443506	DB00736
BRD-K75445017	DB12235
BRD-K18910433	DB00783
BRD-K53319039	DB13952
BRD-K44412991	DB13953
BRD-K64984393	DB13954
BRD-K66766661	DB13956
BRD-A70858459	DB01196
BRD-K17016787	DB04573
BRD-K81839095	DB00655
BRD-K51095933	DB04574
BRD-K63630713	DB00903
BRD-M75061779	DB06689
BRD-K48195008	DB00977
BRD-K18131774	DB00311
BRD-K46331928	DB00823
BRD-K37949327	DB01077
BRD-K68232413	DB09166
BRD-K73541271	DB08984
BRD-K49338325	DB08983
BRD-K55055802	DB00292
BRD-K00003655	DB00294
BRD-K37798499	DB00773
BRD-K54770957	DB01628
BRD-K74717603	DB06414
BRD-K29996876	DB03852
BRD-K32977963	DB09086
BRD-K19741031	DB15676
BRD-K16551357	DB11655
BRD-K11452913	DB12022
BRD-K13514097	DB15676
BRD-K71603915	DB11726
BRD-K92150287	DB12185
BRD-K33425534	DB00990
BRD-K81795818	DB15676
BRD-K98963219	DB05460
BRD-K42260897	DB00973
BRD-K76617868	DB08162
BRD-K48367671	DB04854
BRD-K12502280	DB12500
BRD-K99107520	DB00949
BRD-K91740057	DB07477
BRD-K12513978	DB08981
BRD-K50388907	DB01039
BRD-K30213273	DB13873
BRD-K89085489	DB05076
BRD-K66295376	DB07767
BRD-K46731503	DB06702
BRD-K08864679	DB02545
BRD-K56807945	DB08687
BRD-K14385366	DB04847
BRD-K21586122	DB09279
BRD-K01095011	DB01216
BRD-K88025533	DB08868
BRD-K17513304	DB12732
BRD-K09090523	DB09217
BRD-K31836715	DB07795
BRD-A01907367	DB15676
BRD-K58550667	DB12731
BRD-K01666925	DB03147
BRD-K47639036	DB01148
BRD-K33637378	DB04908
BRD-A23418262	DB08976
BRD-K47832606	DB00322
BRD-K86003836	DB08974
BRD-K05977355	DB00196
BRD-K82143716	DB01099
BRD-K66788707	DB01073
BRD-K00824317	DB00846
BRD-K44067360	DB02266
BRD-K68870568	DB11904
BRD-K98769987	DB01205
BRD-K61496577	DB00663
BRD-K29582677	DB04841
BRD-K49577446	DB00180
BRD-K94353609	DB00591
BRD-K57886322	DB01047
BRD-K21913543	DB00693
BRD-K64862097	DB00324
BRD-K70487031	DB00875
BRD-K55127134	DB00623
BRD-K50720187	DB06623
BRD-K75410565	DB05289
BRD-K77947974	DB04842
BRD-K28307902	DB00499
BRD-K62310379	DB00588
BRD-K18673820	DB00158
BRD-K56810756	DB01213
BRD-K03449891	DB12307
BRD-A26503646	DB15676
BRD-K09602097	DB02587
BRD-K06814349	DB12577
BRD-K53809807	DB01320
BRD-K85178109	DB12010
BRD-K13005598	DB13034
BRD-K00004668	DB03925
BRD-K08255599	DB00998
BRD-K70504253	DB11679
BRD-K78010432	DB00695
BRD-K59256312	DB12831
BRD-K89104321	DB06554
BRD-K49481516	DB00674
BRD-K00004319	DB12415
BRD-A52922642	DB12923
BRD-K28217197	DB05087
BRD-K81981783	DB06741
BRD-K43002773	DB11743
BRD-K68938568	DB12380
BRD-K43187018	DB13072
BRD-K61923022	DB12253
BRD-K52911425	DB11663
BRD-K23228615	DB12180
BRD-K64052750	DB00317
BRD-K43570081	DB15676
BRD-K15108141	DB00441
BRD-K09456915	DB12564
BRD-K11129031	DB01241
BRD-K43797669	DB01645
BRD-K97472745	DB11619
BRD-K31342827	DB03777
BRD-K72280606	DB12141
BRD-K35687421	DB09257
BRD-K42679315	DB15676
BRD-K93816012	DB15676
BRD-K13810148	DB12645
BRD-K34341643	DB11978
BRD-K34776109	DB00222
BRD-K12219985	DB01067
BRD-K80396088	DB01251
BRD-K15893360	DB12461
BRD-K36927236	DB01016
BRD-A81233518	DB00986
BRD-K00004613	DB05814
BRD-K69832040	DB12980
BRD-K69001009	DB11977
BRD-K99504665	DB00014
BRD-K19295594	DB13044
BRD-K44869961	DB01951
BRD-A10967948	DB00889
BRD-K62050508	DB12836
BRD-K08273968	DB00400
BRD-K73585091	DB12687
BRD-K76719364	DB12121
BRD-K04923131	DB15676
BRD-K06750613	DB11962
BRD-K60341624	DB12627
BRD-K25412176	DB11648
BRD-K07972848	DB12703
BRD-K05858796	DB11729
BRD-K37590257	DB12137
BRD-K49215523	DB11795
BRD-K25325018	DB12745
BRD-K14235254	DB05708
BRD-K96282009	DB11359
BRD-K62676709	DB01170
BRD-K32830106	DB01018
BRD-K76037122	DB00536
BRD-K14880289	DB05416
BRD-K26823213	DB11903
BRD-K93258693	DB07863
BRD-K27737647	DB07995
BRD-K81709173	DB06786
BRD-K54247840	DB04866
BRD-K67783091	DB00502
BRD-K58122457	DB15676
BRD-K30553453	DB01094
BRD-K38903228	DB04703
BRD-K99792991	DB00756
BRD-K10598093	DB08960
BRD-K69253806	DB07931
BRD-K99946902	DB11254
BRD-K01674964	DB05381
BRD-K58811567	DB13002
BRD-K01826529	DB15676
BRD-A54234250	DB15676
BRD-K76674262	DB04865
BRD-K62240499	DB04864
BRD-K13078532	DB00999
BRD-K93568044	DB00741
BRD-K11612998	DB14539
BRD-K09968782	DB14544
BRD-K36862742	DB00774
BRD-K11227669	DB09526
BRD-K77793136	DB04707
BRD-K51747290	DB01005
BRD-K46424862	DB07118
BRD-K40530731	DB00424
BRD-K03739921	DB04076
BRD-K31135544	DB05511
BRD-K08681769	DB00710
BRD-K94979336	DB07954
BRD-K70301465	DB09053
BRD-K16444452	DB05266
BRD-K14965640	DB09213
BRD-K09638361	DB03083
BRD-K65639003	DB12052
BRD-K24476327	DB12672
BRD-K47192521	DB00159
BRD-K31698212	DB11737
BRD-K79102359	DB11957
BRD-K69650333	DB01177
BRD-K62627508	DB12325
BRD-K60866521	DB09054
BRD-K74671368	DB04915
BRD-K15426076	DB12233
BRD-K51662849	DB02255
BRD-K48722833	DB04946
BRD-K92723993	DB00619
BRD-K29626940	DB09262
BRD-K11466259	DB11783
BRD-K38436528	DB00458
BRD-K26657438	DB00724
BRD-K81016934	DB11791
BRD-K67628093	DB15676
BRD-K89208535	DB05039
BRD-K64973364	DB08953
BRD-A95869247	DB07467
BRD-K00003177	DB07724
