,FragmentsBitId,AvgNumNonHydrogenAtoms,StdNumNonHydrogenAtoms,countStrong,p-valueStrong,countWeak,p-valueWeak,countVeryWeak,p-valueVeryWeak,countLow,p-valueLow,countCyto,p-valueCyto,countNE,p-valueNE,hStrongBH,p-valueStrongBH,hWeakBH,p-valueWeakBH,hVeryWeakBH,p-valueVeryWeakBH,hLowBH,p-valueLowBH,hCytoBH,p-valueCytoBH,hNEBH,p-valueNEBH
3825,3825,7.666666666666667,2.4720661623652207,2.0,0.40500866495987403,0.0,1.0,2.0,0.5832810165074016,0.0,1.0,0.0,1.0,50.0,0.060466520824167126,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3826,3826,9.23076923076923,1.9671864388529883,2.0,0.042344837577470415,1.0,0.34807090382573763,0.0,1.0,0.0,1.0,0.0,1.0,10.0,0.8679164168250599,False,0.6284219373815899,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3827,3827,7.186440677966102,3.743806529620175,2.0,0.44932509812432914,2.0,0.5739559380512305,2.0,0.6317950766577868,1.0,0.9382764735613741,1.0,0.6245581281505634,51.0,0.41341987642669625,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3828,3828,8.4,1.6852299546352716,0.0,1.0,2.0,0.03949326943364905,0.0,1.0,0.0,1.0,0.0,1.0,8.0,0.8039471878598907,False,1.0,False,0.9686492910193204,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3829,3829,9.461538461538462,1.447299055555906,0.0,1.0,2.0,0.06426041303961993,0.0,1.0,1.0,0.4574657057081136,0.0,1.0,10.0,0.8679164168250599,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3830,3830,8.785714285714286,2.5122150564384245,1.0,0.305080502063218,1.0,0.36919823564401233,0.0,1.0,0.0,1.0,1.0,0.206793280953852,11.0,0.8367644903105462,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3831,3831,4.930232558139535,2.8966327591300813,5.0,0.06651198467912325,3.0,0.522476746119969,4.0,0.36494003335653324,3.0,0.7559095705138493,0.0,1.0,70.0,0.7538815248909867,False,0.7427669251033935,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3832,3832,9.925925925925926,2.6932828092885694,0.0,1.0,1.0,0.5891361762662023,2.0,0.2528693542612946,1.0,0.7195633932514002,0.0,1.0,23.0,0.5830757339006233,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3833,3833,5.816326530612245,2.692949747462316,3.0,0.10767331859555146,1.0,0.773389216574277,5.0,0.021745772521842996,3.0,0.34154251867806223,0.0,1.0,33.0,0.9828478668350331,False,0.8882041597449303,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3834,3834,8.631578947368421,1.4220269564322416,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.591043574325074,0.0,1.0,18.0,0.17880694237704944,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3835,3835,10.083333333333334,3.3778280332518738,0.0,1.0,1.0,0.32623932761157837,1.0,0.355552926088858,0.0,1.0,0.0,1.0,10.0,0.7143696373481445,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3836,3836,8.102564102564102,2.2279675893567656,1.0,0.6283069692637048,2.0,0.3494044965043496,3.0,0.1548358664811815,3.0,0.25266878546469984,0.0,1.0,29.0,0.938146946219663,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
